name;color
2d;#FFBC42
3d;#73D2DE
effects;

persons;
woman;
male;
kids;
older;

rpg;
action;
adventure;
survival;
strategy;
simulation;
puzzle;
sports;
racing;
platformer;
shooter;
fighting;
stealth;
horror;
party;
educational;

monsters;
robots;
dragon;
alien;
animal;
car;
weapon;
armor;
furniture;
building;
nature;
space;

myth;

sci_fi;
medieval;
modern;
futuristic;
horror;
cartoon;
comic;
anime;
manga;
animation;
low_poly;
cyberpunk;
vaporwave;

city;
cloting;
background;
food;

rock;#000000
pop;
rap;
hip_hop;
electronic;
jazz;
classical;
country;
folk;
reggae;
metal
punk;
blues;
latin;
rnb;
soul;
funk;
dance;
disco;

frame_by_frame;
twenty_five_fps;
thirty_fps;
sixty_fps;

python;
c_sharp;
unity;#222C37
unreal;
godot;
c;
java;
javascript;
kaboomjs;
kotlin;
lua;
